Insult,Date,Comment
1,20120618192155Z,"""You fuck dad."""
0,20120528192215Z,"""i really understand point.\xa0 It seems mixing apples oranges."""
0,,"""A\\xc2\\xa0majority Canadians wrong again.\\n\\nUnless supportive idea nothing full proof perfect take chances inadvertently kill son daughter them's breaks always regard collateral damage like wartime - sorry, but\\xc2\\xa0the cheques mail. """
0,,"""listen dont wanna get married man women DONT DO IT. would bother gay people got married stay lane let them. And god nice quick judg like him, thought wasnt suppose judge people."""
0,20120619094753Z,"""C\xe1c b\u1ea1n xu\u1ed1ng \u0111\u01b0\u1eddng bi\u1ec3u t\xecnh 2011 c\xf3 \xf4n ho\xe0 kh\xf4ng ? \nC\xe1c ng\u01b0 d\xe2n ng\u1ed3i cu\xed \u0111\u1ea7u chi\u1ee5 nh\u1ee5c c\xf3 \xf4n ho\xe0 kh\xf4ng ?\nC\xe1c n\xf4ng d\xe2n gi\u1eef \u0111\u1ea5t \u1edf V\u0103n Giang, C\u1ea7n Th\u01a1 c\xf3 \xf4n ho\xe0 kh\xf4ng ?\n.................\nR\u1ed1t cu\u1ed9c \u0111\u01b0\u1ee3c g\xec\xa0 th\xec ch\xfang ta \u0111\xe3 bi\u1ebft !\nAi c\u0169ng y\xeau chu\u1ed9ng ho\xe0 b\xecnh, nh\u01b0ng \u0111\xf4i khi ho\xe0 b\xecnh ch\u1ec9 th\u1eadt s\u1ef1 \u0111\u1ebfn sau chi\u1ebfn tranh m\xe0 th\xf4i.\nKh\xf4ng c\xf2n con \u0111\u01b0\u1eddng n\xe0o ch\u1ecdn kh\xe1c \u0111\xe2u, \u0111\u1eebng m\u01a1 th\xeam n\u01b0\xe3."""
0,20120620171226Z,"""@SDL OK, I would hope they'd sign one-year contract start with. Give chance reliable productive, give time hurt playing skills falls back old habits."""
0,20120503012628Z,"""Yeah now?"""
1,,"""shut fuck up. rest faggot friends burned stake"""
1,20120502173553Z,"""Either fake extremely stupid...maybe both..."""
1,20120620160512Z,"""That idiot understands neither taxation women's health."""
0,20120620015140Z,"""@jdstorm dont wish injury happened OWN DOUBT he's injured, looked embarrassed me"""
0,20120530044519Z,"""Be careful,Jimbo.OG fork name it."""
0,,"""@tonnyb Or pay attention """
0,,"""Hmmm. Perhaps pig-faced get laid therefore zero chance getting pregnant activity hold something women can?? IDK. Stream consciousnees thought looking her. """
0,,"""@barrettmarson Huh? Her income $21,912. Her spending $5,470. My math puts 24.9%."""
1,20120611090207Z,"""FOR SOME REASON U SOUND RETARDED. LOL. DAMN. WHERE U BEEN NEGRO"""
1,20120320162532Z,"""You 'racist' screen name\n\nYou PieceOfShit.........."""
0,,"""Oh! & cheating well...1966 cup cheat fest, & still dare post comment..shame lol"""
1,20120320075347Z,"""your dickhead..."""
1,20120320203947Z,"""Your retard go post head #%&*"""
0,20120612051612Z,"""@EephusBlue\xa0Makes want say ""Mike MacWHOgal?"""""
0,20120611234235Z,"""http://www.youtube.com/watch?v=tLYLLPHKRU4"""
